cgroup_id,window_start_ns,window_end_ns,syscall_01_count,syscall_02_count,syscall_03_count,syscall_04_count,syscall_05_count,syscall_06_count,syscall_07_count,syscall_08_count,syscall_09_count,syscall_10_count,syscall_11_count,syscall_12_count,syscall_13_count,syscall_14_count,syscall_15_count,syscall_16_count,syscall_17_count,syscall_18_count,syscall_19_count,syscall_20_count,pair_01_count,pair_02_count,pair_03_count,pair_04_count,pair_05_count,pair_06_count,pair_07_count,pair_08_count,pair_09_count,pair_10_count,pair_11_count,pair_12_count,pair_13_count,pair_14_count,pair_15_count,pair_16_count,pair_17_count,pair_18_count,pair_19_count,pair_20_count,pair_21_count,pair_22_count,pair_23_count,pair_24_count,pair_25_count,pair_26_count,pair_27_count,pair_28_count,pair_29_count,pair_30_count,pair_31_count,pair_32_count,pair_33_count,pair_34_count,pair_35_count,pair_36_count,pair_37_count,pair_38_count,pair_39_count,pair_40_count,pair_41_count,pair_42_count,pair_43_count,pair_44_count,pair_45_count,pair_46_count,pair_47_count,pair_48_count,pair_49_count,pair_50_count,stat_01,stat_02,stat_03,stat_04
11086,1790020848423077610,1790020849426037032,0,59,51,51,94,0,0,0,102,0,0,51,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020849426037032,1790020850432352031,0,42,39,39,75,0,0,0,78,0,0,39,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020850432352031,1790020851433941145,0,55,47,47,86,0,0,0,94,0,0,47,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020851433941145,1790020852435022416,0,53,42,42,73,0,0,0,84,0,0,42,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020852435022416,1790020853440145796,0,37,33,33,62,0,0,0,66,0,0,33,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020853440145796,1790020854441352130,0,56,49,49,91,0,0,0,98,0,0,49,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020854441352130,1790020855443711801,0,42,34,34,60,0,0,0,68,0,0,34,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020855443711801,1790020856445309536,0,47,39,39,70,0,0,0,78,0,0,39,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020856445309536,1790020857448646629,0,38,31,31,55,0,0,0,62,0,0,31,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020857448646629,1790020858451043361,0,1,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020858451043361,1790020859452616813,0,2,2,2,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020859452616813,1790020860455097716,0,4,3,3,5,0,0,0,6,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020860455097716,1790020861458734301,0,2,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6
11086,1790020861458734301,1790020862459376470,0,1,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020862459376470,1790020863461260321,0,6,5,5,9,0,0,0,10,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020863461260321,1790020864461971877,0,7,6,6,11,0,0,0,12,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020864461971877,1790020865465533828,0,7,6,6,11,0,0,0,12,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020865465533828,1790020866469289409,0,3,2,2,3,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
11086,1790020866469289409,1790020867472288341,0,4,3,3,5,0,0,0,6,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7
